,geoname,geocode,quantidade,habilidades
0,Acre,BR-AC,87,Inglês
1,Alagoas,BR-AL,71,Inglês
2,Amapá,BR-AP,89,Inglês
3,Amazonas,BR-AM,94,Inglês
4,Bahia,BR-BA,73,Inglês
5,Ceará,BR-CE,78,Inglês
6,Distrito Federal,BR-DF,45,Inglês
7,Espírito Santo,BR-ES,54,Inglês
8,Goiás,BR-GO,64,Inglês
9,Maranhão,BR-MA,100,Inglês
10,Mato Grosso,BR-MT,60,Inglês
11,Mato Grosso do Sul,BR-MS,62,Inglês
12,Minas Gerais,BR-MG,57,Inglês
13,Paraná,BR-PR,74,Inglês
14,Paraíba,BR-PB,71,Inglês
15,Pará,BR-PA,97,Inglês
16,Pernambuco,BR-PE,82,Inglês
17,Piauí,BR-PI,85,Inglês
18,Rio Grande do Norte,BR-RN,65,Inglês
19,Rio Grande do Sul,BR-RS,46,Inglês
20,Rio de Janeiro,BR-RJ,52,Inglês
21,Rondônia,BR-RO,69,Inglês
22,Roraima,BR-RR,83,Inglês
23,Santa Catarina,BR-SC,52,Inglês
24,Sergipe,BR-SE,71,Inglês
25,São Paulo,BR-SP,46,Inglês
26,Tocantins,BR-TO,84,Inglês
0,Acre,BR-AC,100,Equipe
1,Alagoas,BR-AL,71,Equipe
2,Amapá,BR-AP,97,Equipe
3,Amazonas,BR-AM,76,Equipe
4,Bahia,BR-BA,75,Equipe
5,Ceará,BR-CE,80,Equipe
6,Distrito Federal,BR-DF,68,Equipe
7,Espírito Santo,BR-ES,61,Equipe
8,Goiás,BR-GO,73,Equipe
9,Maranhão,BR-MA,84,Equipe
10,Mato Grosso,BR-MT,66,Equipe
11,Mato Grosso do Sul,BR-MS,63,Equipe
12,Minas Gerais,BR-MG,99,Equipe
13,Paraná,BR-PR,59,Equipe
14,Paraíba,BR-PB,69,Equipe
15,Pará,BR-PA,98,Equipe
16,Pernambuco,BR-PE,79,Equipe
17,Piauí,BR-PI,84,Equipe
18,Rio Grande do Norte,BR-RN,69,Equipe
19,Rio Grande do Sul,BR-RS,63,Equipe
20,Rio de Janeiro,BR-RJ,69,Equipe
21,Rondônia,BR-RO,77,Equipe
22,Roraima,BR-RR,94,Equipe
23,Santa Catarina,BR-SC,73,Equipe
24,Sergipe,BR-SE,74,Equipe
25,São Paulo,BR-SP,63,Equipe
26,Tocantins,BR-TO,94,Equipe
0,Acre,BR-AC,100,Responsável
1,Alagoas,BR-AL,64,Responsável
2,Amapá,BR-AP,94,Responsável
3,Amazonas,BR-AM,72,Responsável
4,Bahia,BR-BA,71,Responsável
5,Ceará,BR-CE,61,Responsável
6,Distrito Federal,BR-DF,48,Responsável
7,Espírito Santo,BR-ES,51,Responsável
8,Goiás,BR-GO,55,Responsável
9,Maranhão,BR-MA,74,Responsável
10,Mato Grosso,BR-MT,60,Responsável
11,Mato Grosso do Sul,BR-MS,50,Responsável
12,Minas Gerais,BR-MG,51,Responsável
13,Paraná,BR-PR,41,Responsável
14,Paraíba,BR-PB,63,Responsável
15,Pará,BR-PA,74,Responsável
16,Pernambuco,BR-PE,66,Responsável
17,Piauí,BR-PI,74,Responsável
18,Rio Grande do Norte,BR-RN,58,Responsável
19,Rio Grande do Sul,BR-RS,40,Responsável
20,Rio de Janeiro,BR-RJ,48,Responsável
21,Rondônia,BR-RO,84,Responsável
22,Roraima,BR-RR,88,Responsável
23,Santa Catarina,BR-SC,42,Responsável
24,Sergipe,BR-SE,66,Responsável
25,São Paulo,BR-SP,38,Responsável
26,Tocantins,BR-TO,76,Responsável
0,Acre,BR-AC,81,Comunicação
1,Alagoas,BR-AL,63,Comunicação
2,Amapá,BR-AP,90,Comunicação
3,Amazonas,BR-AM,82,Comunicação
4,Bahia,BR-BA,74,Comunicação
5,Ceará,BR-CE,69,Comunicação
6,Distrito Federal,BR-DF,76,Comunicação
7,Espírito Santo,BR-ES,57,Comunicação
8,Goiás,BR-GO,68,Comunicação
9,Maranhão,BR-MA,87,Comunicação
10,Mato Grosso,BR-MT,65,Comunicação
11,Mato Grosso do Sul,BR-MS,58,Comunicação
12,Minas Gerais,BR-MG,76,Comunicação
13,Paraná,BR-PR,59,Comunicação
14,Paraíba,BR-PB,70,Comunicação
15,Pará,BR-PA,78,Comunicação
16,Pernambuco,BR-PE,69,Comunicação
17,Piauí,BR-PI,77,Comunicação
18,Rio Grande do Norte,BR-RN,52,Comunicação
19,Rio Grande do Sul,BR-RS,63,Comunicação
20,Rio de Janeiro,BR-RJ,58,Comunicação
21,Rondônia,BR-RO,81,Comunicação
22,Roraima,BR-RR,100,Comunicação
23,Santa Catarina,BR-SC,67,Comunicação
24,Sergipe,BR-SE,72,Comunicação
25,São Paulo,BR-SP,59,Comunicação
26,Tocantins,BR-TO,83,Comunicação
0,Acre,BR-AC,80,Planejamento
1,Alagoas,BR-AL,70,Planejamento
2,Amapá,BR-AP,99,Planejamento
3,Amazonas,BR-AM,69,Planejamento
4,Bahia,BR-BA,67,Planejamento
5,Ceará,BR-CE,62,Planejamento
6,Distrito Federal,BR-DF,69,Planejamento
7,Espírito Santo,BR-ES,50,Planejamento
