,Unnamed: 0,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type,habilidades
0,0,100,100,True,/trends/explore?q=/m/02h40lc&date=today+12-m&geo=BR,/m/02h40lc,Inglês,Língua,Inglês
1,1,31,31,True,/trends/explore?q=/m/05zjd&date=today+12-m&geo=BR,/m/05zjd,Português,Língua,Inglês
2,2,28,28,True,/trends/explore?q=/g/1218d9__&date=today+12-m&geo=BR,/g/1218d9__,Tradutor,Profissão,Inglês
3,3,12,12,True,/trends/explore?q=/m/07h26&date=today+12-m&geo=BR,/m/07h26,Tradução,Assunto,Inglês
4,4,4,4,True,/trends/explore?q=/m/09x0r&date=today+12-m&geo=BR,/m/09x0r,Fala,Assunto,Inglês
5,5,4,4,True,/trends/explore?q=/m/02jx1&date=today+12-m&geo=BR,/m/02jx1,Inglaterra,Nação constituinte do Reino Unido,Inglês
6,6,3,3,True,/trends/explore?q=/m/02_tc&date=today+12-m&geo=BR,/m/02_tc,Premier League,Liga de futebol,Inglês
7,7,1,1,True,/trends/explore?q=/m/099t2&date=today+12-m&geo=BR,/m/099t2,Verbo,Assunto,Inglês
8,8,1,1,True,/trends/explore?q=/m/03tjm&date=today+12-m&geo=BR,/m/03tjm,I,Assunto,Inglês
9,9,1,1,True,/trends/explore?q=/m/09gqx&date=today+12-m&geo=BR,/m/09gqx,La Liga,Liga de futebol,Inglês
10,10,0,<1,True,/trends/explore?q=/m/0217zf&date=today+12-m&geo=BR,/m/0217zf,Alfabeto inglês,Sistema de escrita do idioma,Inglês
11,11,0,<1,True,/trends/explore?q=/m/04phfx&date=today+12-m&geo=BR,/m/04phfx,Dias da semana,Assunto,Inglês
12,12,0,<1,True,/trends/explore?q=/g/11p44qhs93&date=today+12-m&geo=BR,/g/11p44qhs93,Premier League de 2021–22,Temporada,Inglês
13,13,0,<1,True,/trends/explore?q=/m/02p9w51&date=today+12-m&geo=BR,/m/02p9w51,Conta do Google,Assunto,Inglês
0,0,100,100,True,/trends/explore?q=/m/011l78&date=today+12-m&geo=BR,/m/011l78,Equipe,Assunto,Equipe
1,1,17,17,True,/trends/explore?q=/g/122h6md7&date=today+12-m&geo=BR,/g/122h6md7,Trabalho,Economia,Equipe
2,2,9,9,True,/trends/explore?q=/m/04dlyn&date=today+12-m&geo=BR,/m/04dlyn,Trabalho em equipe,Assunto,Equipe
3,3,5,5,True,/trends/explore?q=/m/01ht4f&date=today+12-m&geo=BR,/m/01ht4f,Motivação,Assunto,Equipe
4,4,3,3,True,/trends/explore?q=/m/025rt2s&date=today+12-m&geo=BR,/m/025rt2s,Liderança,Assunto,Equipe
5,5,2,2,True,/trends/explore?q=/m/03g_1kv&date=today+12-m&geo=BR,/m/03g_1kv,Objetivo,Assunto,Equipe
6,6,2,2,True,/trends/explore?q=/g/120s1x7w&date=today+12-m&geo=BR,/g/120s1x7w,Enfermagem,Campo profissional,Equipe
7,7,2,2,True,/trends/explore?q=/g/121c4vmj&date=today+12-m&geo=BR,/g/121c4vmj,Administração,Campo de estudo,Equipe
8,8,2,2,True,/trends/explore?q=/m/0qb7t&date=today+12-m&geo=BR,/m/0qb7t,Organização,Assunto,Equipe
