Coluna1;Word;Frequency;Retirar;Habilidades;Ferramentas;Verificar
0;dados;298;;;;
1;s;126;;;;
2;análise;101;;;;
3;processos;93;;;;
4;avançado;80;;;;
5;inglês;76;;;;
6;gestão;74;;;;
7;superior;64;;;;
8;sistemas;62;;;;
9;intermediário;61;;;;
10;projetos;58;;;;
11;analisar;58;;;;
12;acompanhamento;57;;;;
13;relatórios;56;;;;
14;excel;54;;;;
15;desenvolvimento;53;;;;
16;sistema;53;;;;
17;desenvolver;51;;;;
18;power;51;;;;
19;bi;50;;;;
20;suporte;46;;;;
21;ferramentas;45;;;;
22;idiomas;45;;;;
23;negócio;43;;;;
24;trabalho;42;;;;
25;indicadores;42;;;;
26;análises;41;;;;
27;engenharia;41;;;;
28;qualidade;41;;;;
29;banco;39;;;;
30;soluções;37;;;;
31;office;37;;;;
32;sql;36;;;;
33;processo;36;;;;
34;acompanhar;34;;;;
35;resultados;34;;;;
36;controle;33;;;;
37;apoio;32;;;;
38;elaboração;30;;;;
39;equipe;30;;;;
40;melhoria;30;;;;
41;rotinas;29;;;;
42;administração;29;;;;
43;clientes;29;;;;
44;pessoas;29;;;;
45;elaborar;29;;;;
46;criar;28;;;;
47;ter;28;;;;
48;testes;28;;;;
49;executar;28;;;;
50;informação;27;;;;
51;mercado;27;;;;
52;dia;27;;;;
53;dashboards;26;;;;
54;serviços;26;;;;
55;garantir;26;;;;
56;manutenção;26;;;;
57;sap;26;;;;
58;fornecedores;26;;;;
59;negócios;25;;;;
60;tecnologia;25;;;;
61;diferencial;25;;;;
62;organização;25;;;;
63;formação;25;;;;
64;ações;25;;;;
65;responsável;25;;;;
66;pacote;24;;;;
67;apoiar;24;;;;
68;comunicação;24;;;;
69;programa;24;;;;
70;auxílio;24;;;;
71;produção;24;;;;
72;ensino;23;;;;
73;base;23;;;;
74;planejamento;23;;;;
75;criação;22;;;;
76;produtos;22;;;;
77;internos;22;;;;
78;saúde;22;;;;
79;atuar;22;;;;
80;assistência;22;;;;
81;vendas;22;;;;
82;sobre;21;;;;
83;capacidade;21;;;;
84;demais;21;;;;
85;necessário;21;;;;
86;bp;21;;;;
87;programação;20;;;;
88;modelagem;20;;;;
89;kpis;20;;;;
90;comercial;20;;;;
91;cliente;20;;;;
92;trabalhar;20;;;;
93;data;20;;;;
94;performance;20;;;;
95;documentos;20;;;;
96;novas;19;;;;
97;foco;19;;;;
98;sempre;19;;;;
99;forma;19;;;;
100;manter;19;;;;
101;seguro;19;;;;
102;vaga;19;;;;
103;procedimentos;19;;;;
104;problemas;18;;;;
105;estatística;18;;;;
106;operação;18;;;;
107;ferramenta;18;;;;
108;identificar;18;;;;
109;graduação;18;;;;
110;computação;18;;;;
111;documentação;18;;;;
112;todos;18;;;;
113;participar;18;;;;
114;junto;18;;;;
115;disponibilidade;18;;;;
116;equipamentos;18;;;;
117;analista;17;;;;
118;responsabilidades;17;;;;
119;meio;17;;;;
120;construção;17;;;;
121;atuação;17;;;;
122;garantindo;17;;;;
123;ciências;17;;;;
124;produto;17;;;;
125;atendimento;17;;;;
126;segurança;17;;;;
127;buscamos;17;;;;
128;gerar;17;;;;
129;custos;17;;;;
130;estratégias;16;;;;
131;todas;16;;;;
132;local;16;;;;
133;afins;16;;;;
134;social;16;;;;
135;diversidade;16;;;;
136;colaboradores;16;;;;
137;profissional;16;;;;
138;organizar;16;;;;
139;monitorar;16;;;;
140;monitoramento;16;;;;
141;ambiente;16;;;;
142;gerenciamento;15;;;;
143;tomada;15;;;;
144;atender;15;;;;
145;oportunidades;15;;;;
146;desafios;15;;;;
147;correlatas;15;;;;
148;python;15;;;;
149;integração;15;;;;
150;estudos;15;;;;
151;preços;15;;;;
152;financeiro;15;;;;
153;cada;15;;;;
154;inovação;15;;;;
155;contínua;15;;;;
156;melhorias;15;;;;
157;operacionais;15;;;;
158;conforme;15;;;;
159;microsoft;15;;;;
160;dar;15;;;;
161;pagamentos;15;;;;
162;suportar;14;;;;
163;etc;14;;;;
164;metodologias;14;;;;
165;outras;14;;;;
166;vai;14;;;;
167;relacionamento;14;;;;
168;decisões;14;;;;
169;planos;14;;;;
170;automação;14;;;;
171;dias;14;;;;
172;desempenho;14;;;;
173;básico;14;;;;
174;plano;14;;;;
175;relacionados;14;;;;
176;contábeis;14;;;;
177;decisão;13;;;;
178;etl;13;;;;
179;demandas;13;;;;
180;técnico;13;;;;
181;políticas;13;;;;
182;visão;13;;;;
183;escritório;13;;;;
184;buscando;13;;;;
185;cloud;13;;;;
186;serviço;13;;;;
187;profissionais;13;;;;
188;companhia;13;;;;
189;benefícios;13;;;;
190;controlar;13;;;;
191;necessidades;13;;;;
192;crm;13;;;;
193;logística;13;;;;
194;contratos;13;;;;
195;learning;12;;;;
196;linguagem;12;;;;
197;visando;12;;;;
198;ciência;12;;;;
199;gerenciais;12;;;;
200;equipes;12;;;;
201;sendo;12;;;;
202;parte;12;;;;
203;levantamento;12;;;;
204;marketing;12;;;;
205;unidade;12;;;;
206;propor;12;;;;
207;cursos;12;;;;
208;além;12;;;;
209;implementar;12;;;;
210;utilizando;12;;;;
211;previdência;12;;;;
212;oferecemos;12;;;;
213;atribuições;12;;;;
214;faturamento;12;;;;
215;necessários;12;;;;
216;execução;12;;;;
217;acordo;12;;;;
218;riscos;12;;;;
219;estoque;12;;;;
220;fechamento;12;;;;
221;cargo;11;;;;
222;diferentes;11;;;;
223;gerir;11;;;;
224;implementação;11;;;;
225;ti;11;;;;
226;home;11;;;;
227;completa;11;;;;
228;tecnologias;11;;;;
229;ano;11;;;;
230;brasil;11;;;;
231;médica;11;;;;
232;odontológica;11;;;;
233;reports;11;;;;
234;compras;11;;;;
235;emissão;11;;;;
236;horário;11;;;;
237;deficiência;11;;;;
238;treinamentos;11;;;;
239;internas;11;;;;
240;materiais;11;;;;
241;auxiliar;11;;;;
242;protheus;11;;;;
243;machine;10;;;;
244;coleta;10;;;;
245;fluxos;10;;;;
246;bases;10;;;;
