,id,titulo,empresa,nivel_da_vaga,link
0,v2453299,Analista de Dados Sr,RioCard Mais,Sênior,https://www.vagas.com.br/vagas/v2453299/analista-de-dados-sr
1,v2449386,Analista de Dados,Samsung SDS Latin America Tecnologia e Logística LTDA,Pleno,https://www.vagas.com.br/vagas/v2449386/analista-de-dados
2,v2439852,Analista de Dados Sr,DHL Express,Sênior,https://www.vagas.com.br/vagas/v2439852/analista-de-dados-sr
3,v2459105,Analista de Dados,IPIRANGA PRODUTOS DE PETRÓLEO S.A.,Sênior,https://www.vagas.com.br/vagas/v2459105/analista-de-dados
4,v2444791,Analista de Dados Pl / Sr,Sompo Seguros,Pleno,https://www.vagas.com.br/vagas/v2444791/analista-de-dados-pl-sr
5,v2459848,Analista de Dados Sênior,Telhanorte Tumelero,Sênior,https://www.vagas.com.br/vagas/v2459848/analista-de-dados-senior
6,v2460760,Analista de Dados - Pleno,Saint-Gobain Sekurit,Pleno,https://www.vagas.com.br/vagas/v2460760/analista-de-dados-pleno
7,v2461596,Analista de Dados Sr,Pif Paf Alimentos,Sênior,https://www.vagas.com.br/vagas/v2461596/analista-de-dados-sr
8,v2461798,Analista de Dados Jr,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2461798/analista-de-dados-jr
9,v2463110,Analista de Dados Pleno,Recovery,Pleno,https://www.vagas.com.br/vagas/v2463110/analista-de-dados-pleno
10,v2463000,Analista de Dados,EssilorLuxottica,Pleno,https://www.vagas.com.br/vagas/v2463000/analista-de-dados
11,v2454584,Analista de Engenharia de Dados Jr,Ativa Investimentos,Júnior/Trainee,https://www.vagas.com.br/vagas/v2454584/analista-de-engenharia-de-dados-jr
12,v2456954,Analista de Dados - Logistica,Samsung SDS Latin America Tecnologia e Logística LTDA,Estágio,https://www.vagas.com.br/vagas/v2456954/analista-de-dados-logistica
13,v2455959,Analista de Dados de Mobilidade,CPFL Energia,Pleno,https://www.vagas.com.br/vagas/v2455959/analista-de-dados-de-mobilidade
14,v2455049,Analista de Inteligência de Dados Sênior,Grupo Nortearh,Sênior,https://www.vagas.com.br/vagas/v2455049/analista-de-inteligencia-de-dados-senior
15,v2455170,Analista de Dados - Bi,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2455170/analista-de-dados-bi
