,geoname,geocode,quantidade,ferramenta
0,Acre,BR-AC,52,Excel
1,Alagoas,BR-AL,45,Excel
2,Amapá,BR-AP,45,Excel
3,Amazonas,BR-AM,72,Excel
4,Bahia,BR-BA,54,Excel
5,Ceará,BR-CE,61,Excel
6,Distrito Federal,BR-DF,94,Excel
7,Espírito Santo,BR-ES,68,Excel
8,Goiás,BR-GO,67,Excel
9,Maranhão,BR-MA,48,Excel
10,Mato Grosso,BR-MT,64,Excel
11,Mato Grosso do Sul,BR-MS,61,Excel
12,Minas Gerais,BR-MG,78,Excel
13,Paraná,BR-PR,80,Excel
14,Paraíba,BR-PB,50,Excel
15,Pará,BR-PA,55,Excel
16,Pernambuco,BR-PE,55,Excel
17,Piauí,BR-PI,38,Excel
18,Rio Grande do Norte,BR-RN,46,Excel
19,Rio Grande do Sul,BR-RS,70,Excel
20,Rio de Janeiro,BR-RJ,71,Excel
21,Rondônia,BR-RO,50,Excel
22,Roraima,BR-RR,54,Excel
23,Santa Catarina,BR-SC,79,Excel
24,Sergipe,BR-SE,44,Excel
25,São Paulo,BR-SP,100,Excel
26,Tocantins,BR-TO,53,Excel
0,Acre,BR-AC,28,Power BI
1,Alagoas,BR-AL,31,Power BI
2,Amapá,BR-AP,21,Power BI
3,Amazonas,BR-AM,50,Power BI
4,Bahia,BR-BA,31,Power BI
5,Ceará,BR-CE,58,Power BI
6,Distrito Federal,BR-DF,100,Power BI
7,Espírito Santo,BR-ES,75,Power BI
8,Goiás,BR-GO,50,Power BI
9,Maranhão,BR-MA,42,Power BI
10,Mato Grosso,BR-MT,46,Power BI
11,Mato Grosso do Sul,BR-MS,39,Power BI
12,Minas Gerais,BR-MG,71,Power BI
13,Paraná,BR-PR,82,Power BI
14,Paraíba,BR-PB,37,Power BI
15,Pará,BR-PA,37,Power BI
16,Pernambuco,BR-PE,43,Power BI
17,Piauí,BR-PI,29,Power BI
18,Rio Grande do Norte,BR-RN,40,Power BI
19,Rio Grande do Sul,BR-RS,45,Power BI
20,Rio de Janeiro,BR-RJ,67,Power BI
21,Rondônia,BR-RO,35,Power BI
22,Roraima,BR-RR,0,Power BI
23,Santa Catarina,BR-SC,50,Power BI
24,Sergipe,BR-SE,36,Power BI
25,São Paulo,BR-SP,96,Power BI
26,Tocantins,BR-TO,33,Power BI
0,Acre,BR-AC,49,Banco de Dados
1,Alagoas,BR-AL,41,Banco de Dados
2,Amapá,BR-AP,54,Banco de Dados
3,Amazonas,BR-AM,66,Banco de Dados
4,Bahia,BR-BA,48,Banco de Dados
5,Ceará,BR-CE,59,Banco de Dados
6,Distrito Federal,BR-DF,100,Banco de Dados
7,Espírito Santo,BR-ES,49,Banco de Dados
8,Goiás,BR-GO,57,Banco de Dados
9,Maranhão,BR-MA,51,Banco de Dados
10,Mato Grosso,BR-MT,51,Banco de Dados
11,Mato Grosso do Sul,BR-MS,52,Banco de Dados
12,Minas Gerais,BR-MG,54,Banco de Dados
13,Paraná,BR-PR,54,Banco de Dados
14,Paraíba,BR-PB,63,Banco de Dados
15,Pará,BR-PA,55,Banco de Dados
16,Pernambuco,BR-PE,63,Banco de Dados
17,Piauí,BR-PI,61,Banco de Dados
18,Rio Grande do Norte,BR-RN,56,Banco de Dados
19,Rio Grande do Sul,BR-RS,50,Banco de Dados
20,Rio de Janeiro,BR-RJ,44,Banco de Dados
21,Rondônia,BR-RO,55,Banco de Dados
22,Roraima,BR-RR,49,Banco de Dados
23,Santa Catarina,BR-SC,61,Banco de Dados
24,Sergipe,BR-SE,54,Banco de Dados
25,São Paulo,BR-SP,74,Banco de Dados
26,Tocantins,BR-TO,58,Banco de Dados
0,Acre,BR-AC,81,Pacote Office
1,Alagoas,BR-AL,53,Pacote Office
2,Amapá,BR-AP,89,Pacote Office
3,Amazonas,BR-AM,97,Pacote Office
4,Bahia,BR-BA,74,Pacote Office
5,Ceará,BR-CE,77,Pacote Office
6,Distrito Federal,BR-DF,98,Pacote Office
7,Espírito Santo,BR-ES,71,Pacote Office
8,Goiás,BR-GO,81,Pacote Office
9,Maranhão,BR-MA,69,Pacote Office
10,Mato Grosso,BR-MT,74,Pacote Office
11,Mato Grosso do Sul,BR-MS,71,Pacote Office
12,Minas Gerais,BR-MG,70,Pacote Office
13,Paraná,BR-PR,71,Pacote Office
14,Paraíba,BR-PB,76,Pacote Office
15,Pará,BR-PA,80,Pacote Office
16,Pernambuco,BR-PE,75,Pacote Office
17,Piauí,BR-PI,78,Pacote Office
18,Rio Grande do Norte,BR-RN,61,Pacote Office
19,Rio Grande do Sul,BR-RS,67,Pacote Office
20,Rio de Janeiro,BR-RJ,78,Pacote Office
21,Rondônia,BR-RO,71,Pacote Office
22,Roraima,BR-RR,87,Pacote Office
23,Santa Catarina,BR-SC,76,Pacote Office
24,Sergipe,BR-SE,55,Pacote Office
25,São Paulo,BR-SP,100,Pacote Office
26,Tocantins,BR-TO,86,Pacote Office
0,Acre,BR-AC,18,SQL
1,Alagoas,BR-AL,33,SQL
2,Amapá,BR-AP,14,SQL
3,Amazonas,BR-AM,33,SQL
4,Bahia,BR-BA,24,SQL
5,Ceará,BR-CE,42,SQL
6,Distrito Federal,BR-DF,100,SQL
7,Espírito Santo,BR-ES,55,SQL
8,Goiás,BR-GO,36,SQL
9,Maranhão,BR-MA,22,SQL
10,Mato Grosso,BR-MT,31,SQL
