,Unnamed: 0,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type,ferramenta
0,0,100,100,True,/trends/explore?q=/m/052tr&date=today+12-m&geo=BR,/m/052tr,Microsoft Excel,Programa de computador,Excel
1,1,11,11,True,/trends/explore?q=/m/06wxc&date=today+12-m&geo=BR,/m/06wxc,Planilha eletrônica,Gênero do formato do arquivo,Excel
2,2,8,8,True,/trends/explore?q=/m/015tl8&date=today+12-m&geo=BR,/m/015tl8,Fórmula,Assunto,Excel
3,3,8,8,True,/trends/explore?q=/m/0600q&date=today+12-m&geo=BR,/m/0600q,Portable Document Format,Formato de arquivo,Excel
4,4,6,6,True,/trends/explore?q=/m/01cbd&date=today+12-m&geo=BR,/m/01cbd,Célula,Assunto,Excel
5,5,4,4,True,/trends/explore?q=/m/06c_5&date=today+12-m&geo=BR,/m/06c_5,Conversão,Religião,Excel
6,6,4,4,True,/trends/explore?q=/m/01lgy&date=today+12-m&geo=BR,/m/01lgy,Cálculo infinitesimal,Campo de estudo,Excel
7,7,3,3,True,/trends/explore?q=/m/02v_93z&date=today+12-m&geo=BR,/m/02v_93z,Função,Matemática,Excel
8,8,3,3,True,/trends/explore?q=/m/01_m7&date=today+12-m&geo=BR,/m/01_m7,Coluna,Assunto,Excel
9,9,3,3,True,/trends/explore?q=/m/026sq&date=today+12-m&geo=BR,/m/026sq,Dados,Assunto,Excel
10,10,3,3,True,/trends/explore?q=/m/052yv&date=today+12-m&geo=BR,/m/052yv,Microsoft Word,Software,Excel
11,11,3,3,True,/trends/explore?q=/m/04q347y&date=today+12-m&geo=BR,/m/04q347y,Gráfico,Assunto,Excel
12,12,2,2,True,/trends/explore?q=/m/020_g&date=today+12-m&geo=BR,/m/020_g,Data,Assunto,Excel
13,13,2,2,True,/trends/explore?q=/m/0h6zk&date=today+12-m&geo=BR,/m/0h6zk,Porcentagem,Unidade de medida,Excel
14,14,2,2,True,/trends/explore?q=/m/01tygv&date=today+12-m&geo=BR,/m/01tygv,Arquivo,Tipo de organização,Excel
15,15,2,2,True,/trends/explore?q=/m/01km84&date=today+12-m&geo=BR,/m/01km84,Somatório,Assunto,Excel
16,16,2,2,True,/trends/explore?q=/m/080_2&date=today+12-m&geo=BR,/m/080_2,Visual Basic for Applications,Linguagem de programação,Excel
17,17,2,2,True,/trends/explore?q=/m/01dlmc&date=today+12-m&geo=BR,/m/01dlmc,Lista,Assunto,Excel
18,18,1,1,True,/trends/explore?q=/m/01shfc&date=today+12-m&geo=BR,/m/01shfc,Formatação de disco,Assunto,Excel
19,19,1,1,True,/trends/explore?q=/m/06fnqk&date=today+12-m&geo=BR,/m/06fnqk,Atalho,Assunto,Excel
20,20,1,1,True,/trends/explore?q=/m/010x3c2k&date=today+12-m&geo=BR,/m/010x3c2k,Google Sheets,Assunto,Excel
21,21,1,1,True,/trends/explore?q=/m/01p9pz&date=today+12-m&geo=BR,/m/01p9pz,Contagem,Matemática,Excel
22,22,0,<1,True,/trends/explore?q=/g/11clr_l6ft&date=today+12-m&geo=BR,/g/11clr_l6ft,Power BI,Assunto,Excel
23,23,0,<1,True,/trends/explore?q=/m/040t7h&date=today+12-m&geo=BR,/m/040t7h,Column,Assunto,Excel
24,24,0,<1,True,/trends/explore?q=/m/03krjh&date=today+12-m&geo=BR,/m/03krjh,Financista,Tipo de organização,Excel
0,0,100,100,True,/trends/explore?q=/m/016jq3&date=today+12-m&geo=BR,/m/016jq3,Inteligência empresarial,Assunto,Power BI
1,1,97,97,True,/trends/explore?q=/g/11clr_l6ft&date=today+12-m&geo=BR,/g/11clr_l6ft,Power BI,Assunto,Power BI
