,Unnamed: 0,index,id,titulo,empresa,nivel_da_vaga,link,data_publi,salario_vg,cidade_vg,descr3_vg,descr2_vg
0,0,0,v2453299,Analista de Dados Sr,RioCard Mais,Sênior,https://www.vagas.com.br/vagas/v2453299/analista-de-dados-sr,Publicada em 03/11/2022,a combinar,100% Home Office,"Empresa
A Riocard Mais é um sistema de bilhetagem eletrônica utilizado na maioria das cidades do Estado do Rio de Janeiro.
Somos a solução tecnológica de pagamento de passagens, que integra todos os meios de transporte coletivos. Nossos produtos e serviços oferecem diversos benefícios que melhoram a mobilidade e a qualidade de vida das pessoas.","Descrição

Descrição:
Propósito do Cargo:
Suportar o negócio com relatórios e análises de dados relevantes para gerenciamento e tomada de decisão.

Principais atividades:
Criar rotinas de ETL;
Desenvolver dashboards em Qlik Sense e relatórios Nprinting;
Realizar análises descritivas, preditivas e prescritivas;
Desenvolver/gerenciar soluções de Machine Learning para solucionar problemas de negócios;
 
Requisitos:
Ensino superior completo (Estatística, Tecnologia da Informação ou correlatos);
Experiência com Qlik Sense ou similares;
Experiência com linguagem SQL;
Experiência com lógica de programação;
Experiência com ETL e Modelagem dimensional;
Será um diferencial conhecimento prático em aprendizado supervisionado, não supervisionado e séries temporais."
0,0,1,v2449386,Analista de Dados,Samsung SDS Latin America Tecnologia e Logística LTDA,Pleno,https://www.vagas.com.br/vagas/v2449386/analista-de-dados,Publicada em 24/10/2022,a combinar,São Paulo,"Descrição

Descrição:
Descritivo:
Analista de dados para trabalho em armazém logístico para apoio à gestão através de análise de informações obtidas via sistemas ou monitorando rotinas de trabalho visando definição de estratégias de trabalho.

Principais atividades e responsabilidades
Coleta e análise de dados para apoio a tomadas de decisão
Elaboração de estratégias baseadas em
Mapeamento e controle de fluxos
Cronometria
Elaboração e acompanhamento de relatórios e KPIs da operação


Outros requisitos:
Pré-requisitos
Ensino superior completo
Excel Avançado
Experiência com ferramentas de BI","Assistência médica
Assistência odontológica
Auxílio creche
Participação nos Lucros ou Resultados
Refeitório
Seguro de vida
Ver todos"
0,0,2,v2439852,Analista de Dados Sr,DHL Express,Sênior,https://www.vagas.com.br/vagas/v2439852/analista-de-dados-sr,Publicada em 29/09/2022,a combinar,São Paulo,"Descrição

Descrição:
ATIVIDADES:
Desenvolver dashboards por meio da ferramenta Power BI para atender demandas específicas dos times;
Suportar os times quanto a organização e correlacionamento dos dados para desenvolvimento de relatórios;
Identificar a necessidade de estruturação de novas bases de dados suportando os times para esta atividade;
Identificar oportunidades e desafios do negócio ao que compete a dados;
Otimizar a utilização dos dados disponíveis em todas as diferentes fontes de informação (Excel, SQL, Access, TXT, etc..).

SEU PERFIL:
Graduação em Engenharias, Ciência da Computação e/ou áreas correlatas;
Experiência em análise de dados/BI/Analytics
Experiência em análises de negócios com acompanhamento de KPIs
Conhecimento técnico em manipulação de banco de dados em linguagem SQL.
Pacote Office avançado, com foco em Excel;
Domínio da Linguagem DAX
Inglês intermediário.

REQUISITOS DESEJÁVEIS:
Noções de Python (diferencial);
Conhecimento em metodologias ágeis;
Conhecimento em Power Automate para integração com Power BI (diferencial);
Conhecimento em modelagem/estatística/machine learning é diferencial.

Idiomas:
Inglês - Nível Intermediário","Assistência médica
Assistência odontológica
Auxílio academia
Auxílio creche
Auxílio desenvolvimento
Auxílio estacionamento
Ver todos"
0,0,3,v2459105,Analista de Dados,IPIRANGA PRODUTOS DE PETRÓLEO S.A.,Sênior,https://www.vagas.com.br/vagas/v2459105/analista-de-dados,Publicada em 21/11/2022,a combinar,Rio de Janeiro,"Descrição

Descrição:
# Sobre área
A área de Inteligência Comercial tem como principais objetivos, traduzir as estratégias de pricing da Cia em políticas e diretrizes de preço, através de estudos de mercado e inteligência artificial. Trata-se de uma área dinâmica, com foco na competitividade de pricing e com projetos e atividades relacionadas ao entendimento das dinâmicas de mercado, criação de inteligência artificial das políticas de preços, desenvolvimento e análise dos principais indicadores da diretoria, entre outras atividades que visão a maximização do resultado do negócio.

#O que você vai fazer?

Identificar oportunidades de negócio para suportar a política de preços, a partir da coleta, tratamento e interpretação de dados;
Compreender e desenvolver informações através da manipulação de dados e modelagem estatística.
Desenvolvimento de estudos com base estatística para a área de Pricing que tragam insights relevantes sobre o posicionamento da política de preços;
Identificar e interpretar tendências e padrões dentro do pricing que auxiliem a tomada de decisão e na construção das políticas de preços;
Ser key user e detentor das regras da política de preços;
Prover informações relevantes sobre a estrutura da política de preços a partir da interpretação de dados e estudos quantitativos, para evoluções futuras.
#Requisitos (Obrigatório)

Excel no mínimo intermediário (será testado);
Power BI no mínimo intermediário.

#Diferenciais


Conhecimento de modelagem de dados e análises estatísticas;
Experiência prévia com análises de mercado;
Desejável conhecimento de python e outras linguagens de programação.

#O que esperamos de você?

Habilidade de gerir e analisar grande volume de dados e KPIs;
Resiliência e capacidade de desempenhar atividades dinâmicas;
Foco no cliente;
Capacidade de trabalhar em equipe e de mergulhar em nossos negócios;
Responsabilidade e autonomia.

#Onde estamos

Escritório Rio de Janeiro/RJ.","Assistência médica
Assistência odontológica
Auxílio academia
Auxílio creche
Auxílio estacionamento
Home office
Ver todos"
0,0,4,v2444791,Analista de Dados Pl / Sr,Sompo Seguros,Pleno,https://www.vagas.com.br/vagas/v2444791/analista-de-dados-pl-sr,Publicada em 13/10/2022,a combinar,São Paulo,"Descrição

Descrição:
Estruturar base de dados e manipular os dados para estudo (data wrangling);
Acompanhar a implementação de KPI's (indicadores de performance);
Especificar demandas de desenvolvimento de reportes, mapear processos e sistemas corporativos;
Interação com o financeiro, TI e demais unidades interligadas às unidades de produtos, sinistros e operações;
Desenvolvimento (programação) de macros (Access e Excel VBA) para controles e/ou processos internos.

Idiomas:
Inglês - Nível Intermediário

Outros requisitos:
Crucial
Proficiência em ferramenta e linguagem SAS Guide ou simular;
Conhecimentos avançados em linguagem SQL;
Visão estruturada de KPI's/ indicadores de performance;
Experiência com construção de dashboards, principalmente em QlikSense e Power BI.

Flexível
Experiência no mercado de seguros (familiarizado com termos e processos) e atuação em indicadores gerenciais;
Conhecimento das características e conceitos de um demonstrativo de resultado (DRE) de seguros;
Visão estruturada para mapeamento de processos e projetos.

Diferencial
Domínio em lógica de programação para compreensão de diagrama de entidade e relacionamento DER/MER;
Pacote Office e VBA avançado;
Conhecimento em Python.","Assistência médica
Assistência odontológica
Auxílio creche
Bicicletário
Bolsa auxílio
Consignado
Ver todos"
0,0,5,v2459848,Analista de Dados Sênior,Telhanorte Tumelero,Sênior,https://www.vagas.com.br/vagas/v2459848/analista-de-dados-senior,Publicada em 23/11/2022,a combinar,São Paulo,"Descrição

Descrição:
Responsabilidades

Análises de grandes volumes de dados, aplicando técnicas de Preparação e Visualização de dados, desenvolvimento de pipelines, consultas e cruzamento de dados, e códigos voltados para aplicações de negócio.

Interagindo fortemente com as equipes de TI e do negócio, buscando entendimento da arquitetura dos dados, desenvolvendo novos códigos, e detalhar requisitos de negócio para a aplicação de métodos de análise avançada de dados.


Pré requisitos:

Ampla experiência na área de Dados, Analytics e/ou Ciência de Dados;

Programação avançada em Python (essencial) / R (desejável);

Conhecimento avançado em SQL;

Conhecimento em alguma ferramenta de engenharia de dados (EX.: Airflow, Kafka, Spark, dbt);

Conhecimento em Alteryx/KNime, Power BI e Bancos de Dados (Relacionais e NoSQL);

Desejável conhecimento em ferramenttas de ETL: Talend/SAP SLT;

Experiência com soluções Cloud Azure;

Desejável conhecimento em Snowflake/Databricks/Synapse;

Documentação de requisitos;

Conhecimento em conceitos: Inteligência Artificial, Modelagem Preditiva, Deep Learning, Machine Learning, Estratégias de negócio;

Desejável experiência em empresas de varejo.

Superior completo.

Local de trabalho, Barra Funda.
Formato Hibrido, sendo 3x presencial e 2x home office.","Assistência médica
Assistência odontológica
Cooperativa de crédito
Desconto em produtos
Participação nos Lucros ou Resultados
Plano de Aquisição de Ações
Ver todos"
0,0,6,v2460760,Analista de Dados - Pleno,Saint-Gobain Sekurit,Pleno,https://www.vagas.com.br/vagas/v2460760/analista-de-dados-pleno,Publicada em 25/11/2022,a combinar,São Paulo,"Descrição

Descrição:
Responsabilidades

Análises de dados, aplicando técnicas de Preparação e Visualização de dados, desenvolvimento de pipelines, consultas e cruzamento de dados, e códigos voltados para aplicações de negócio.
Interage fortemente com as equipes de TI e do negócio, buscando entendimento da arquitetura dos dados, desenvolvendo novos códigos, e detalha requisitos de negócio para a aplicação de métodos de análise avançada de dados.

Requisitos:
• Experiência na área de Dados, Analytics e/ou Ciência de Dados
• Programação em Python (essencial) / R (desejável)
• Conhecimento avançado em SQL
• Conhecimento em alguma ferramenta de engenharia de dados (EX.: Airflow, Kafka, Spark, dbt)
• Conhecimento em Power BI e Bancos de Dados (Relacionais e NoSQL)
• Desejável conhecimento em ferramentas de análise de dados: Alteryx/KNime
• Desejável conhecimento em ferramentas de ETL: Talend/SAP SLT
• Experiência com soluções Cloud Azure
• Experiência com grande volume de dados.
Superior Completo

Local de trabalho, Barra Funda.
Formato Hibrido, sendo 3x presencial e 2x home office.","Assistência médica
Assistência odontológica
Cooperativa de crédito
Desconto em produtos
Participação nos Lucros ou Resultados
Plano de Aquisição de Ações
Ver todos"
0,0,7,v2461596,Analista de Dados Sr,Pif Paf Alimentos,Sênior,https://www.vagas.com.br/vagas/v2461596/analista-de-dados-sr,Publicada há 4 dias,a combinar,Belo Horizonte,"Descrição

Descrição:
Será que você é o ingrediente que falta por aqui? Na Pif Paf, você vai fazer parte de um time que busca cada vez mais inovação, agilidade e desenvolvimento!

Venha fazer parte da nossa receita de sucesso #VemSerPifPaf ??

Olha só como você vai contribuir com o time de Dados:

Criando Data Pipilines que permitem coletar os dados brutos em diversos formatos e transformá-los em formatos podem ser utilizados em decisões estratégicas do negócio;
Realizando análise de dados, levantamento de requisitos, ingestão de dados, transformação de dados, modelagem de dados para fornecimento de informações e confecção de relatórios;
Criando consultas SQL (ETL) nos Banco de Dados (SQL Server, PSQL, Data Lake) e processos de ETL;
Estruturando base de dados e implementando rotinas automáticas para extração de dados do sistema e planilhas.
Garantindo a qualidade dos dados, das integrações e a consistência da base de dados;
Automatizando as coletas de dados de uso recorrente, garantindo maior agilidade na obtenção de relatório e informações.


Para mandar bem você precisa:

Graduação Superior Completa em Tecnologia da Informação, Engenharia da Computação, Ciências da Computação, Administração, Marketing, Publicidade e Propaganda, Matemática ou áreas afins;
Desejável Inglês Avançado;
Conhecimento avançado em Power BI, Excel, Cloud, SQL e em ingestão de dados;
Desejável conhecimento em Stack’s da AWS (S3, EC2, EKS, EMR, ECR, IAM), em Airflow e em conteinerização de processos (Kubernetes e Docker);
Desejável Conhecimento na área Comercial, Marketing, Supply Chain, S&OP ou FP&A.



Curtiu? Então #VemSerPifPaf. Dá gosto ter você aqui!

Idiomas:
Inglês - Nível Avançado","Assistência médica
Assistência odontológica
Cesta de natal
Participação nos Lucros ou Resultados
Programa de treinamentos
Vale-alimentação
Ver todos"
0,0,8,v2461798,Analista de Dados Jr,Confidencial,Júnior/Trainee,https://www.vagas.com.br/vagas/v2461798/analista-de-dados-jr,Publicada há 4 dias,a combinar,Uberlândia,"Descrição

Descrição:
Constrói banco de dados dashboards e simuladores a partir de atividades menos complexas. Faz a extração integração e modelagem de dados. Realiza análises mais superficiais a partir de demandas específicas. Acompanha e atualiza indicadores do negócio por meio de rotinas pré estabelecidas. Trabalha com orientações das posições mais sêniores e da gestão.

Outros requisitos:
Formação Superior Cursando ou Completo","Assistência médica
Assistência odontológica
Auxílio academia
Auxílio creche
Convênio com empresas parceiras
Home office
Ver todos"
0,0,9,v2463000,Analista de Dados,EssilorLuxottica,Pleno,https://www.vagas.com.br/vagas/v2463000/analista-de-dados,Publicada ontem,a combinar,São Paulo,"Empresa
Somos a EssilorLuxottica, líder global no design, fabricação e distribuição de lentes oftálmicas, armações e óculos de sol. Formada em 2018 pela combinação da Essilor e da Luxottica, nossa empresa combina dois séculos de inovação e esforço humano para elevar o cuidado com a visão e a experiência do consumidor ao seu redor.
Somos o lar das marcas de óculos e cuidados com a visão mais amadas e amplamente reconhecidas do mundo. Nossas marcas proprietárias de óculos incluem Ray-Ban, Oakley, Costa, Vogue Eyewear, Persol e Oliver Peoples, complementadas por mais de 20 marcas licenciadas de prestígio. Nossas tecnologias avançadas de lentes incluem Varilux, Crizal, Eyezen, Stellest e Transitions. Oferecemos experiências superiores de compras e pacientes com uma rede de 18.000 lojas, incluindo marcas de varejo de classe mundial como Sunglass Hut, LensCrafters, Salmoiraghi & Viganò e GrandVision.

5 razões para escolher a EssilorLuxottica:


Uma empresa líder em um setor em constante mudança;

Uma missão de melhoria de vida que nos une a todos;

Um mundo onde as ideias visionárias e a criatividade brilham;

Um lugar para criar sua própria aventura;

Uma comunidade de indivíduos trabalhando juntos como um.



A EssilorLuxottica valoriza e apoia a diversidade, por esse motivo, todas as nossas vagas são abertas para candidaturas de profissionais PcDs.","Descrição

Descrição:
Estamos em busca de um novo colaborador para fazer parte da nossa equipe de Recursos Humanos em nossa unidade de Campinas (SP). A Luxottica é líder mundial em design, fabricação e distribuição de armações de óculos de esporte, moda e luxo, proporcionando um produto de altíssima qualidade, que leva saúde, autoestima e estilo aos nossos clientes. Nosso objetivo é fazê-los enxergar a beleza da vida. E para isso, contamos com o que temos de mais valioso: nossas pessoas.
No time de Recursos Humanos acreditamos que fazemos a diferença promovendo um olhar questionador, buscando excelência a cada novo processo e método de trabalho, sempre com olhar para melhoria contínua. Nosso objetivo é antecipar tendências e promover processos eficazes, que proporcionem ainda mais qualidade, competividade e nível de serviços aos nossos clientes.

Quais serão as minhas atividades e responsabilidades?
O seu desafio trabalhando em nossa célula de People Analytics será transformar dados e análises de indicadores em dashboards, aplicativos e demais ferramentas que suportem as áreas do business para tomadas de decisão. Os principais objetivos serão:

1. Realizar análises preditivas dentro da estrutura de People Analytics, através de conceitos de programação e Machine Learning, com base nos temas mais críticos das áreas de negócio (como turnover, absenteísmo, produtividade), com objetivo de promover dados para tomadas de decisão antecipadas.;
2. Desenvolver relatórios e dashbords através do Power BI, Power APPs e demais ferramentas disponíveis, pelo reporte de indicadores a nível local e global (para todas as unidades de Operations Brasila);
3. Desenvolver e garantir a manutenção dos dashboards de RH, compartilhados e apresentados às áreas de negócio, como Absenteísmo; Hora extra; Controle de jornada; Férias; Banco de Horas; etc, para identificação de desvios e tendências, e construção de planos de ação com iniciativas mitigatórias e propostas de melhoria contínua;
4. Apoiar áreas do RH e parceria com as demais áreas de negócio com relação a melhorias que envolvam processo de automação, através do uso de RPA e de aplicativos (pelo Power APPs), para eliminação de atividades sem valor agregado e melhoria do nível de serviço dos processos e ações oferecidos pelas áreas.

O que preciso para me candidatar?
Como você será responsável por atuar na área de Recursos Humanos sendo referência em People Analytics fornecendo informações e dados importantes para nos posicionar de maneira estratégica com o objetivo de suportar os resultados de negócio, é importante que você tenha visão de negócio, e seja apaixonado por transformação de dados. Para essa posição é necessário que você possua graduação completa em Tecnologia da Informação, Ciência de Dados, Engenharia ou áreas correlatas e tenha conhecimento em tecnologias de Business Intelligence como Power BI, Machine Learning e ferramentas de programação (como Python), é desejável conhecimento em SAP e Excel em nível avançado.

Como somos uma multinacional italiana, com unidades em diferentes locais do mundo, estamos sempre em contato com nossos colegas, clientes e fornecedores. Por isso, a comunicação avançada em inglês é essencial para ampliarmos nossos horizontes e estarmos conectados. Se souber italiano, ainda melhor!"
