,Word,Frequency
0,dados,136
1,descrição,63
2,conhecimento,47
3,experiência,43
4,requisitos,35
5,nan,35
6,análise,34
7,bi,33
8,processos,30
9,power,30
10,empresa,29
11,áreas,27
12,outros,27
13,área,27
14,avançado,26
15,negócio,24
16,desenvolver,24
17,•,24
18,ferramentas,22
19,relatórios,22
20,atividades,21
21,sql,21
22,nível,20
23,dashboards,19
24,indicadores,18
25,excel,18
26,inglês,18
27,sistemas,18
28,desenvolvimento,18
29,pessoas,17
30,fazer,17
31,superior,17
32,analisar,17
33,qualidade,16
34,trabalho,16
35,organização,16
36,clientes,15
37,informações,15
38,python,15
39,·,14
40,serviços,13
41,banco,13
42,desejável,13
43,intermediário,13
44,principais,12
45,através,12
46,kpis,12
47,idiomas,12
48,projetos,12
49,saúde,11
50,cada,11
51,programação,11
52,resultados,11
53,acompanhamento,11
54,completo,11
55,ferramenta,11
56,vida,10
57,trabalhar,10
58,análises,10
59,demais,10
60,tecnologia,10
61,estratégias,10
62,linguagem,10
63,office,10
64,ter,10
65,–,10
66,brasil,9
67,equipe,9
68,recursos,9
69,responsabilidades,9
70,base,9
71,performance,9
72,criar,9
73,bp,9
74,produtos,8
75,gente,8
76,objetivo,8
77,time,8
78,melhoria,8
79,learning,8
80,responsável,8
81,gestão,8
82,visando,8
83,ensino,8
84,computação,8
85,eou,8
86,pacote,8
87,diferencial,8
88,modelagem,8
89,extrair,8
90,atendimento,8
91,greenpeace,8
92,doações,8
93,operacionais,8
94,elaborar,8
95,todos,7
96,busca,7
97,parte,7
98,decisão,7
99,realizar,7
100,garantir,7
101,manutenção,7
102,sendo,7
103,visão,7
104,informação,7
105,engenharia,7
106,tecnologias,7
107,diferentes,7
108,apoio,7
109,coleta,7
110,times,7
111,identificar,7
112,oportunidades,7
113,sobre,7
114,políticas,7
115,mercado,7
116,preços,7
117,outras,7
118,estatística,7
119,capacidade,7
120,conhecimentos,7
121,seguros,7
122,gerenciais,7
123,equipes,7
124,novos,7
125,etl,7
126,manter,7
127,diversas,7
128,inclusão,7
129,formação,7
130,administração,7
131,crm,7
132,gerar,7
133,comerciais,7
134,sistema,6
135,mundo,6
136,analista,6
137,processo,6
138,transformar,6
139,dentro,6
140,machine,6
141,automação,6
142,necessário,6
143,ciência,6
144,correlatas,6
145,operação,6
146,negócios,6
147,metodologias,6
148,integração,6
149,comercial,6
150,vai,6
151,insights,6
152,data,6
153,internos,6
154,grandes,6
155,soluções,6
156,todo,6
157,colaboradores,6
158,profissional,6
159,valores,6
160,geração,6
161,seguro,6
162,organizar,6
163,pra,6
164,olhar,5
165,buscando,5
166,promover,5
167,analytics,5
168,business,5
169,objetivos,5
170,local,5
171,global,5
172,todas,5
173,controle,5
174,atuar,5
175,referência,5
176,atender,5
177,demandas,5
178,manipulação,5
179,foco,5
180,domínio,5
181,inteligência,5
182,estudos,5
183,criação,5
184,relevantes,5
185,cliente,5
186,acompanhar,5
187,implementação,5
188,financeiro,5
189,ti,5
190,vba,5
